"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Brandon Aubrey",DAL,"10","4 out of 5 stars","0"
"2",1,"Cameron Dicker",LAC,"12","5 out of 5 stars","0"
"3",1,"Jake Bates",DET,"8","1 out of 5 stars","0"
"4",2,"Wil Lutz",DEN,"12","5 out of 5 stars","+7"
"5",2,"Chase McLaughlin",TB,"9","3 out of 5 stars","-1"
"6",2,"Ka'imi Fairbairn",HOU,"6","3 out of 5 stars","-1"
"7",2,"Harrison Butker",KC,"10","3 out of 5 stars","0"
"8",2,"Chris Boswell",PIT,"5","1 out of 5 stars","-2"
"9",3,"Evan McPherson",CIN,"10","1 out of 5 stars","+5"
"10",3,"Tyler Bass",BUF,"7","2 out of 5 stars","0"
"11",3,"Jake Elliott",PHI,"9","2 out of 5 stars","-2"
"12",3,"Matt Gay",WAS,"12","3 out of 5 stars","+4"
"13",3,"Younghoe Koo",ATL,"5","4 out of 5 stars","+2"
"14",3,"Tyler Loop",BAL,"7","2 out of 5 stars","-1"
"15",3,"Jason Sanders",MIA,"12","2 out of 5 stars","-7"
"16",3,"Will Reichard",MIN,"6","0 out of 5 stars","+3"
"17",4,"Joshua Karty",LAR,"8","2 out of 5 stars","+4"
"18",4,"Daniel Carlson",LV,"8","3 out of 5 stars","-1"
"19",4,"Brandon McManus",GB,"5","3 out of 5 stars","+1"
"20",4,"Cam Little",JAC,"8","5 out of 5 stars","-8"
"21",4,"Jake Moody",SF,"14","5 out of 5 stars","-3"
"22",4,"Jason Myers",SEA,"8","5 out of 5 stars","+1"
"23",4,"Cairo Santos",CHI,"5","1 out of 5 stars","-1"
"24",4,"Graham Gano",NYG,"14","0 out of 5 stars","+1"
"25",4,"Blake Grupe",NO,"11","5 out of 5 stars","+3"
"26",4,"Chad Ryland",ARI,"8","3 out of 5 stars","+1"
"27",5,"Andy Borregales",NE,"14","4 out of 5 stars","-1"
"28",5,"Spencer Shrader",IND,"11","5 out of 5 stars","+4"
"29",5,"Nick Folk",NYJ,"9","2 out of 5 stars","+4"
"30",5,"Dustin Hopkins",CLE,"9","1 out of 5 stars","-1"
"31",5,"Joey Slye",TEN,"10","3 out of 5 stars","-1"
"32",5,"Matthew Wright",CAR,"14","2 out of 5 stars","-1"
"33",6,"Harrison Mevis",NYJ,"9","2 out of 5 stars","+5"
"34",6,"Justin Tucker",FA,"-","-","-10"
"35",6,"Eddy Pineiro",FA,"-","-","+9"
"36",6,"Ryan Fitzgerald",CAR,"14","2 out of 5 stars","+1"
"37",6,"Parker Romo",NE,"14","4 out of 5 stars","+3"
"38",6,"Greg Zuerlein",FA,"-","-","+9"
"39",6,"Matt Prater",FA,"-","-","+12"
"40",6,"Andre Szmyt",CLE,"9","1 out of 5 stars","+23"
"41",6,"Mark McNamee",GB,"5","3 out of 5 stars","+17"
"42",6,"Ben Sauls",PIT,"5","1 out of 5 stars","+12"
"43",6,"Greg Joseph",FA,"-","-","-7"
"44",6,"Caden Davis",FA,"-","-","-9"
"45",7,"Jude McAtamney",NYG,"14","0 out of 5 stars","-11"
