"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","4 out of 5 stars","+1"
"2",1,"Lamar Jackson",BAL,"7","3 out of 5 stars","-1"
"3",1,"Jayden Daniels",WAS,"12","2 out of 5 stars","0"
"4",1,"Jalen Hurts",PHI,"9","3 out of 5 stars","0"
"5",2,"Joe Burrow",CIN,"10","2 out of 5 stars","0"
"6",2,"Patrick Mahomes II",KC,"10","3 out of 5 stars","0"
"7",2,"Baker Mayfield",TB,"9","2 out of 5 stars","0"
"8",2,"Bo Nix",DEN,"12","4 out of 5 stars","0"
"9",3,"Kyler Murray",ARI,"8","4 out of 5 stars","0"
"10",3,"Dak Prescott",DAL,"10","2 out of 5 stars","+2"
"11",3,"Justin Fields",NYJ,"9","5 out of 5 stars","+2"
"12",3,"Brock Purdy",SF,"14","4 out of 5 stars","-2"
"13",3,"Drake Maye",NE,"14","5 out of 5 stars","+3"
"14",3,"Justin Herbert",LAC,"12","3 out of 5 stars","0"
"15",3,"Caleb Williams",CHI,"5","2 out of 5 stars","0"
"16",3,"Jared Goff",DET,"8","2 out of 5 stars","-5"
"17",4,"Jordan Love",GB,"5","2 out of 5 stars","+1"
"18",4,"Trevor Lawrence",JAC,"8","3 out of 5 stars","+2"
"19",4,"C.J. Stroud",HOU,"6","3 out of 5 stars","-2"
"20",4,"J.J. McCarthy",MIN,"6","2 out of 5 stars","-1"
"21",4,"Tua Tagovailoa",MIA,"12","5 out of 5 stars","0"
"22",4,"Bryce Young",CAR,"14","3 out of 5 stars","+3"
"23",4,"Michael Penix Jr.",ATL,"5","4 out of 5 stars","+1"
"24",4,"Geno Smith",LV,"8","3 out of 5 stars","+2"
"25",4,"Matthew Stafford",LAR,"8","3 out of 5 stars","-2"
"26",4,"Cam Ward",TEN,"10","2 out of 5 stars","-4"
"27",4,"Sam Darnold",SEA,"8","4 out of 5 stars","0"
"28",5,"Aaron Rodgers",PIT,"5","4 out of 5 stars","0"
"29",5,"Daniel Jones",IND,"11","3 out of 5 stars","+8"
"30",5,"Russell Wilson",NYG,"14","1 out of 5 stars","0"
"31",5,"Anthony Richardson Sr.",IND,"11","3 out of 5 stars","-2"
"32",5,"Joe Flacco",CLE,"9","2 out of 5 stars","+1"
"33",5,"Jaxson Dart",NYG,"14","1 out of 5 stars","-2"
"34",5,"Tyler Shough",NO,"11","5 out of 5 stars","+2"
"35",5,"Shedeur Sanders",CLE,"9","2 out of 5 stars","-3"
"36",6,"Spencer Rattler",NO,"11","5 out of 5 stars","+5"
"37",6,"Jalen Milroe",SEA,"8","4 out of 5 stars","-2"
"38",6,"Kirk Cousins",ATL,"5","4 out of 5 stars","-4"
"39",6,"Jameis Winston",NYG,"14","1 out of 5 stars","-1"
"40",6,"Kenny Pickett",CLE,"9","2 out of 5 stars","+6"
"41",6,"Dillon Gabriel",CLE,"9","2 out of 5 stars","+29"
"42",6,"Jimmy Garoppolo",LAR,"8","3 out of 5 stars","-3"
"43",6,"Tyrod Taylor",NYJ,"9","5 out of 5 stars","+38"
"44",6,"Joe Milton III",DAL,"10","2 out of 5 stars","-2"
"45",6,"Mason Rudolph",PIT,"5","4 out of 5 stars","-2"
"46",7,"Marcus Mariota",WAS,"12","2 out of 5 stars","+5"
