"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"5","4 out of 5 stars","+1"
"2",1,"Saquon Barkley",PHI,"9","3 out of 5 stars","-1"
"3",1,"Jahmyr Gibbs",DET,"8","2 out of 5 stars","0"
"4",1,"Derrick Henry",BAL,"7","4 out of 5 stars","0"
"5",2,"Ashton Jeanty",LV,"8","2 out of 5 stars","+1"
"6",2,"Christian McCaffrey",SF,"14","3 out of 5 stars","-1"
"7",2,"Jonathan Taylor",IND,"11","2 out of 5 stars","+4"
"8",2,"Josh Jacobs",GB,"5","4 out of 5 stars","-1"
"9",2,"De'Von Achane",MIA,"12","4 out of 5 stars","-1"
"10",3,"Bucky Irving",TB,"9","3 out of 5 stars","-1"
"11",3,"Kyren Williams",LAR,"8","3 out of 5 stars","-1"
"12",3,"Chase Brown",CIN,"10","4 out of 5 stars","0"
"13",3,"James Cook",BUF,"7","4 out of 5 stars","0"
"14",3,"Omarion Hampton",LAC,"12","2 out of 5 stars","+2"
"15",3,"Kenneth Walker III",SEA,"8","3 out of 5 stars","+2"
"16",4,"Breece Hall",NYJ,"9","5 out of 5 stars","-2"
"17",4,"Chuba Hubbard",CAR,"14","3 out of 5 stars","+1"
"18",4,"James Conner",ARI,"8","3 out of 5 stars","+1"
"19",4,"Alvin Kamara",NO,"11","4 out of 5 stars","-4"
"20",4,"TreVeyon Henderson",NE,"14","4 out of 5 stars","0"
"21",4,"David Montgomery",DET,"8","2 out of 5 stars","0"
"22",4,"D'Andre Swift",CHI,"5","3 out of 5 stars","+1"
"23",4,"RJ Harvey",DEN,"12","2 out of 5 stars","-1"
"24",4,"Tony Pollard",TEN,"10","2 out of 5 stars","+3"
"25",4,"Isiah Pacheco",KC,"10","2 out of 5 stars","+1"
"26",5,"Aaron Jones Sr.",MIN,"6","3 out of 5 stars","-1"
"27",5,"Kaleb Johnson",PIT,"5","4 out of 5 stars","+1"
